idx	term
1138	boycott
1139	boycotted
1140	boyd
1141	boyfriend
1142	boys
1143	bradley
1144	brady
1145	bragg
1146	brain
1147	braking
1148	branch
1149	branches
1150	brand
1151	branded
1152	brando
1153	brands
1154	branover
1155	brave
1156	brawley
1157	brazil
1158	brazilian
1159	brazils
1160	breach
1161	bread
1162	break
1163	breakdown
1164	breakfast
1165	breakin
1166	breaking
1167	breaks
1168	breakthrough
1169	breast
1170	breath
1171	breathe
1172	breathing
1173	breeding
1174	breeze
1175	brenda
1176	brennan
1177	brent
1178	brian
1179	bribery
1180	bribes
1181	brick
1182	bricklin
1183	bridal
1184	bride
1185	brides
1186	bridesmaids
1187	bridge
1188	bridges
1189	brief
1190	briefed
1191	briefing
1192	briefings
1193	briefly
1194	brig
1195	brigade
1196	brigades
1197	briggs
1198	bright
1199	brilliant
1200	bring
1201	bringing
1202	brings
1203	brinks
1204	brisk
1205	britain
1206	britains
1207	britannica
1208	british
1209	britons
1210	broad
1211	broadcast
1212	broadcasters
1213	broadcasting
1214	broadcasts
1215	broaden
1216	broader
1217	broadway
1218	broke
1219	broken
1220	broker
1221	brokerage
1222	brokered
1223	brokers
1224	bronfman
1225	bronx
1226	brooklyn
1227	brooks
1228	bros
1229	brothels
1230	brother
1231	brothers
1232	brought
1233	brown
1234	browning
1235	broyles
1236	bruce
1237	brush
1238	brushed
1239	brussels
1240	brutal
1241	brutality
1242	bryan
1243	bryant
1244	bst
1245	bubble
1246	bubbles
1247	buchanan
1248	bucharest
1249	buckey
1250	buckley
1251	budapest
1252	buddhist
1253	buddy
1254	budget
1255	budgets
1256	budvar
1257	buenos
1258	buffalo
1259	buffs
1260	bug
1261	build
1262	builder
1263	builders
1264	building
1265	buildings
1266	buildup
1267	built
1268	bujang
1269	bulgaria
1270	bulk
1271	bull
1272	bullet
1273	bulletin
1274	bullets
1275	bullion
1276	bullish
1277	bumper
1278	bunch
1279	bundesbank
1280	burbank
1281	burden
1282	burdick
1283	bureau
1284	bureaucracy
1285	bureaucrats
1286	bureaus
1287	burgeoning
1288	burger
1289	burglary
1290	burgues
1291	burial
1292	buried
1293	burke
1294	burleson
1295	burlington
1296	burma
1297	burmas
1298	burn
1299	burned
1300	burnham
1301	burning
1302	burns
1303	burst
1304	burt
1305	burton
1306	bury
1307	bus
1308	buses
1309	busfield
1310	bush
1311	bushel
1312	bushels
1313	bushs
1314	business
1315	businesses
1316	businessman
1317	businessmen
1318	bust
1319	buster
1320	busy
1321	butcher
1322	buthelezi
1323	butterfly
1324	button
1325	buttons
1326	buy
1327	buyer
1328	buyers
1329	buying
1330	buyout
1331	buyouts
1332	buys
1333	bypass
1334	byrd
1335	byrne
1336	byzantine
1337	c
1338	cabbage
1339	cabin
1340	cabinet
1341	cable
1342	cafe
1343	cain
1344	cairo
1345	cake
1346	caledonia
1347	calero
1348	calgary
1349	caliber
1350	calif
1351	california
1352	californians
1353	californias
1354	call
1355	called
1356	caller
1357	callers
1358	calling
1359	calls
1360	calm
1361	camarena
1362	cambodia
1363	cambodian
1364	cambridge
1365	came
1366	camera
1367	cameras
1368	camp
1369	campaign
1370	campaigned
1371	campaigning
1372	campaigns
1373	campbell
1374	campeau
1375	camped
1376	camps
1377	campus
1378	canada
1379	canadian
1380	canal
1381	cancel
1382	canceled
1383	canceling
1384	cancellation
1385	cancer
1386	candidacy
1387	candidate
1388	candidates
1389	canning
1390	cannon
1391	cano
1392	cans
1393	cant
1394	canyon
1395	cap
1396	capabilities
1397	capability
1398	capable
1399	capacity
1400	cape
1401	capita
1402	capital
1403	capitalism
1404	capitalist
1405	capitals
1406	capitol
1407	capped
1408	caps
1409	capt
1410	captain
1411	captive
1412	captives
1413	captivity
1414	capture
1415	captured
1416	car
1417	carbide
1418	carbon
1419	card
1420	cardboard
1421	cardinal
1422	cards
1423	care
1424	career
1425	careful
1426	carefully
1427	caretaker
1428	cargill
1429	cargo
1430	caribbean
1431	caring
1432	carl
1433	carla
1434	carlos
1435	carlson
1436	carlucci
1437	carol
1438	carolina
1439	carolinas
1440	carolyn
1441	carpenter
1442	carpenters
1443	carried
1444	carrier
1445	carriers
1446	carries
1447	carroll
1448	carry
1449	carrying
1450	cars
1451	carson
1452	cart
1453	cartel
1454	cartels
1455	carter
1456	cartoon
1457	carved
1458	cascade
1459	case
1460	cases
1461	casey
1462	cash
1463	casino
1464	casinos
1465	casper
1466	cassette
1467	cassettes
1468	cast
1469	castaneda
1470	castillo
1471	castle
1472	castro
1473	casual
1474	casualties
1475	casualty
1476	cat
1477	catastrophe
1478	catastrophic
1479	catch
1480	categories
1481	category
1482	caterpillar
1483	cathedral
1484	catherine
1485	catholic
1486	catholicjewish
1487	catholics
1488	cattle
1489	caucus
1490	caucuses
1491	caught
1492	cause
1493	caused
1494	causes
1495	causing
1496	caution
1497	cautioned
1498	cautious
1499	cautiously
1500	cavazos
1501	cave
1502	cbn
1503	cbs
1504	cdc
1505	cdy
1506	cease
1507	ceasefire
1508	ceausescu
1509	ceausescus
1510	cebu
1511	ceiling
1512	celebrate
1513	celebrated
1514	celebrating
1515	celebration
1516	celebrations
1517	celebrities
1518	celebrity
1519	cell
1520	cells
1521	cement
1522	cemetery
1523	censorship
1524	census
1525	cent
1526	centennial
1527	center
1528	centered
1529	centers
1530	central
1531	centrist
1532	centrust
1533	cents
1534	centuries
1535	century
1536	ceo
1537	cereal
1538	ceremonial
1539	ceremonies
1540	ceremony
1541	ceremsak
1542	certainly
1543	certainty
1544	certificate
1545	certificates
1546	certification
1547	cerullo
1548	cesar
1549	cftc
1550	chadli
1551	chafee
1552	chain
1553	chains
1554	chair
1555	chaired
1556	chairman
1557	chairmen
1558	chairs
1559	challenge
1560	challenged
1561	challenger
1562	challengers
1563	challenges
1564	challenging
1565	chamber
1566	chambers
1567	chamorro
1568	chamorros
1569	champagne
1570	champion
1571	champions
1572	championship
1573	chance
1574	chancellor
1575	chancery
1576	chances
1577	chaney
1578	change
1579	changed
1580	changes
1581	changing
1582	channel
1583	channels
1584	chanted
1585	chanting
1586	chaos
1587	chapman
1588	chapter
1589	character
1590	characteristics
1591	characterized
1592	characters
1593	charge
1594	charged
1595	charges
1596	chargeurs
1597	charging
1598	charitable
1599	charities
1600	charity
1601	charles
1602	charleston
1603	charlie
1604	charlotte
1605	charred
1606	chart
1607	charter
1608	chartered
1609	chase
1610	chased
1611	chatham
1612	cheap
1613	cheaper
1614	checchi
1615	check
1616	checked
1617	checking
1618	checkpoint
1619	checks
1620	cheered
1621	cheering
1622	cheers
1623	cheese
1624	chelsea
1625	chemical
1626	chemicals
1627	chemotherapy
1628	cheney
1629	cher
1630	chernobyl
1631	cherry
1632	chess
1633	chest
1634	chester
1635	cheyenne
1636	chia
1637	chicago
1638	chicagobased
1639	chicken
1640	chickens
1641	chief
1642	chiefs
1643	child
1644	childhood
1645	children
1646	childrens
1647	childs
1648	chile
1649	chiles
1650	china
1651	chinas
1652	chinese
1653	chinn
1654	chip
1655	chips
1656	chiquita
1657	choice
1658	choices
1659	choir
1660	cholesterol
1661	choose
1662	choosing
1663	chorus
1664	chose
1665	chosen
1666	chris
1667	christ
1668	christian
1669	christians
1670	christies
1671	christine
1672	christmas
1673	christopher
1674	chromium
1675	chronic
1676	chrysler
1677	chryslers
1678	chuck
1679	church
1680	churches
1681	churchs
1682	cia
1683	cigarette
1684	cigarettes
1685	cincinnati
1686	cinema
1687	circle
1688	circles
1689	circuit
1690	circular
1691	circulated
1692	circulation
1693	circumstances
1694	circus
1695	cisneros
1696	cited
1697	cites
1698	cities
1699	citing
1700	citizen
1701	citizens
1702	citizenship
1703	city
1704	citys
1705	civic
1706	civil
1707	civilian
1708	civilians
1709	civilization
1710	claim
1711	claimants
1712	claimed
1713	claiming
1714	claims
1715	clandestine
1716	clara
1717	claremont
1718	clark
1719	clarke
1720	clash
1721	clashed
1722	clashes
1723	class
1724	classaction
1725	classes
1726	classic
1727	classics
1728	classified
1729	classroom
1730	claude
1731	clay
1732	clayton
1733	clean
1734	cleaned
1735	cleaning
1736	cleanup
1737	clear
1738	cleared
1739	clearing
1740	clearly
1741	clears
1742	clem
1743	clerical
1744	clerk
1745	clerks
1746	cleveland
1747	client
1748	clients
1749	cliff
1750	climate
1751	climb
1752	climbed
1753	climbing
1754	clinic
1755	clinics
1756	clint
1757	clinton
1758	clock
1759	close
1760	closed
1761	closely
1762	closer
1763	closes
1764	closest
1765	closing
1766	closings
1767	cloth
1768	clothes
1769	clothing
1770	cloud
1771	clouds
1772	cloudy
1773	clout
1774	clr
1775	club
1776	clubs
1777	clues
1778	clyde
1779	cmdr
1780	cna
1781	cnn
1782	co
1783	coach
1784	coal
1785	coalition
1786	coast
1787	coastal
1788	coastamerica
1789	coasters
1790	coasts
1791	coat
1792	coats
1793	coca
1794	cocaine
1795	cochairman
1796	cockpit
1797	cocoa
1798	code
1799	coffee
1800	coffers
1801	coffin
1802	cohost
1803	coins
1804	col
1805	cold
1806	cole
1807	coleco
1808	coleman
1809	colin
1810	collaborating
1811	collapse
1812	collapsed
1813	collapsing
1814	collateral
1815	colleague
1816	colleagues
1817	collect
1818	collected
1819	collecting
1820	collection
1821	collections
1822	collective
1823	collector
1824	collectors
1825	college
1826	colleges
1827	collided
1828	collider
1829	collins
1830	collision
1831	colo
1832	colombia
1833	colombian
1834	colombias
1835	colombo
1836	colonel
1837	colonial
1838	colonies
1839	colony
1840	color
1841	colorado
1842	colored
1843	colorful
1844	colors
1845	columbia
1846	columbias
1847	columbus
1848	column
1849	columnist
1850	coma
1851	combat
1852	combatants
1853	combe
1854	combination
1855	combine
1856	combined
1857	come
1858	comedy
1859	comes
1860	comfort
1861	comfortable
1862	coming
1863	command
1864	commandant
1865	commander
1866	commanders
1867	commanding
1868	commencement
1869	comment
1870	commentary
1871	commentator
1872	commented
1873	commenting
1874	comments
1875	commerce
1876	commercial
1877	commerciale
1878	commercials
1879	commission
1880	commissioned
1881	commissioner
1882	commissions
1883	commit
1884	commitment
1885	commitments
1886	committed
1887	committee
1888	committees
1889	committing
1890	commodities
1891	commodity
1892	common
1893	commonly
1894	commons
1895	commune
1896	communicate
1897	communication
1898	communications
1899	communion
1900	communique
1901	communism
1902	communist
1903	communists
1904	communities
1905	community
1906	communitys
1907	commuter
1908	compact
1909	companies
1910	companion
1911	company
1912	companys
1913	comparable
1914	compare
1915	compared
1916	compares
1917	comparison
1918	compelled
1919	compensate
1920	compensation
1921	compete
1922	competent
1923	competing
1924	competition
1925	competitive
1926	competitor
1927	competitors
1928	compiled
1929	complain
1930	complained
1931	complaining
1932	complaint
1933	complaints
1934	complete
1935	completed
1936	completely
1937	completing
1938	completion
1939	complex
1940	compliance
1941	complicated
1942	complications
1943	complicity
1944	comply
1945	complying
1946	component
1947	components
1948	composed
1949	composer
1950	composite
1951	compound
1952	comprehensive
1953	comprise
1954	comprised
1955	compromise
1956	compromises
1957	computer
1958	computerized
1959	computers
1960	concede
1961	conceded
1962	conceicao
1963	concentrate
1964	concentrated
1965	concentrating
1966	concentration
1967	concept
1968	concern
1969	concerned
1970	concerning
1971	concerns
1972	concert
1973	concerts
1974	concession
1975	concessions
1976	conciliatory
1977	conclude
1978	concluded
1979	concludes
1980	conclusion
1981	conclusions
1982	concrete
1983	condemn
1984	condemnation
1985	condemned
1986	condemning
1987	condition
1988	conditioned
1989	conditions
1990	condom
1991	condoms
1992	conduct
1993	conducted
1994	conducting
1995	conductor
1996	confederation
1997	conference
1998	conferences
1999	confessed
2000	confession
2001	confidence
2002	confident
2003	confidential
2004	confidentiality
2005	confined
2006	confinement
2007	confirm
2008	confirmation
2009	confirmed
2010	confirms
2011	confiscated
2012	conflict
2013	conflicting
2014	conflicts
2015	confrontation
2016	confusion
2017	conglomerate
2018	congress
2019	congressional
2020	congressman
2021	congressmen
2022	coniston
2023	conn
2024	connect
2025	connected
2026	connecticut
2027	connection
2028	connections
2029	connie
2030	conrad
2031	conrail
2032	conscience
2033	conscious
2034	consecutive
2035	consensus
2036	consent
2037	consequences
2038	conservation
2039	conservative
2040	conservatives
2041	consider
2042	considerable
2043	considerably
2044	consideration
2045	considerations
2046	considered
2047	considering
2048	considers
2049	consist
2050	consistent
2051	consistently
2052	consists
2053	consolidated
2054	consortium
2055	conspiracy
2056	conspiring
2057	constable
2058	constabulary
2059	constant
2060	constantly
2061	constituents
2062	constitution
2063	constitutional
2064	constitutionally
2065	constitutions
2066	construction
2067	constructive
2068	consul
2069	consular
2070	consulate
2071	consultant
2072	consultants
2073	consultation
2074	consultations
2075	consulted
2076	consulting
2077	consumed
2078	consumer
2079	consumers
2080	consumption
2081	contact
2082	contacted
2083	contacts
2084	contagious
2085	contain
2086	contained
2087	container
2088	containers
2089	containing
2090	contains
2091	contaminated
2092	contamination
2093	contemporary
2094	contempt
2095	contend
2096	contended
2097	contender
2098	contenders
2099	contending
2100	contends
2101	content
2102	contention
2103	contents
2104	contest
2105	contestants
2106	contested
2107	contests
2108	context
2109	continent
2110	continental
2111	continentals
2112	contingent
2113	continue
2114	continued
2115	continues
2116	continuing
2117	contra
2118	contraception
2119	contract
2120	contracted
2121	contracting
2122	contractor
2123	contractors
2124	contracts
2125	contrary
2126	contras
2127	contrast
2128	contribute
2129	contributed
2130	contributing
2131	contribution
2132	contributions
2133	contributors
2134	control
2135	controlled
2136	controllers
2137	controlling
2138	controls
2139	controversial
2140	controversy
2141	convenience
2142	convention
2143	conventional
2144	conventions
2145	conversation
2146	conversations
2147	conversion
2148	converted
2149	converting
2150	convict
2151	convicted
2152	conviction
2153	convictions
2154	convince
2155	convinced
2156	convoy
2157	convoys
2158	cook
2159	cookies
2160	cooking
2161	cooks
2162	cool
2163	cooler
2164	cooper
2165	cooperate
2166	cooperated
2167	cooperating
2168	cooperation
2169	cooperative
2170	coordinate
2171	coordinated
2172	coordinator
2173	coowner
2174	cop
2175	cope
2176	copies
2177	copper
2178	copy
2179	copyright
2180	coral
2181	corazon
2182	corbin
2183	cord
2184	cordero
2185	cordon
2186	core
2187	corkscrew
2188	corn
2189	corner
2190	corners
2191	coroner
2192	coroners
2193	corp
2194	corporate
2195	corporation
2196	corporations
2197	corps
2198	correct
2199	corrected
2200	correction
2201	correctional
2202	corrections
2203	correctly
2204	correspondent
2205	correspondents
2206	corroon
2207	corrupt
2208	corruption
2209	cos
2210	cosby
2211	cosell
2212	cosmetics
2213	cost
