year	dtemp	type
1893	-0.21	ocean
1894	-0.26	ocean
1895	-0.2	ocean
1896	0.04	ocean
1897	0.12	ocean
1898	-0.18	ocean
1899	-0.18	ocean
1900	-0.01	ocean
1901	-0.04	ocean
1902	-0.17	ocean
1903	-0.26	ocean
1904	-0.5	ocean
1905	-0.2	ocean
1906	-0.14	ocean
1907	-0.2	ocean
1908	-0.37	ocean
1909	-0.41	ocean
1910	-0.5	ocean
1911	-0.47	ocean
1912	-0.12	ocean
1913	-0.34	ocean
1914	-0.17	ocean
1915	0.02	ocean
1916	-0.16	ocean
1917	-0.47	ocean
1918	-0.24	ocean
1919	-0.05	ocean
1920	-0.18	ocean
1921	-0.26	ocean
1922	-0.12	ocean
1923	-0.3	ocean
1924	-0.11	ocean
1925	-0.28	ocean
1926	-0.11	ocean
1927	-0.2	ocean
1928	-0.2	ocean
1929	-0.32	ocean
1930	-0.2	ocean
1931	-0.03	ocean
1932	-0.11	ocean
1933	-0.21	ocean
1934	-0.28	ocean
1935	-0.24	ocean
1936	-0.15	ocean
1937	-0.06	ocean
1938	-0.09	ocean
1939	-0.1	ocean
1940	0.17	ocean
1941	0.23	ocean
1942	0.19	ocean
1943	-0.01	ocean
1944	0.27	ocean
1945	0.16	ocean
1946	0.03	ocean
1947	-0.07	ocean
1948	-0.17	ocean
1949	-0.04	ocean
1950	-0.1	ocean
1951	-0.13	ocean
1952	0.11	ocean
1953	0.06	ocean
1954	-0.07	ocean
1955	-0.12	ocean
1956	-0.11	ocean
1957	0.03	ocean
1958	0.15	ocean
1959	0.06	ocean
1960	0.04	ocean
1961	0.1	ocean
1962	0.07	ocean
1963	0.01	ocean
1964	-0.06	ocean
1965	-0.09	ocean
1966	0.03	ocean
1967	-0.02	ocean
1968	-0.11	ocean
1969	0.25	ocean
1970	0.12	ocean
1971	-0.1	ocean
1972	0.03	ocean
1973	0.23	ocean
1974	-0.09	ocean
1975	0.02	ocean
1976	-0.06	ocean
1977	0.23	ocean
1978	0.16	ocean
1979	0.24	ocean
1980	0.37	ocean
1981	0.26	ocean
1982	0.19	ocean
1983	0.35	ocean
1984	0.25	ocean
1985	0.17	ocean
1986	0.18	ocean
1987	0.33	ocean
1988	0.44	ocean
1989	0.23	ocean
1990	0.41	ocean
1991	0.34	ocean
1992	0.31	ocean
1993	0.26	ocean
1994	0.26	ocean
1995	0.37	ocean
1996	0.33	ocean
1997	0.38	ocean
1998	0.56	ocean
1999	0.4	ocean
2000	0.34	ocean
2001	0.44	ocean
2002	0.53	ocean
2003	0.5	ocean
2004	0.5	ocean
2005	0.5	ocean
2006	0.43	ocean
2007	0.43	ocean
2008	0.33	ocean
2009	0.42	ocean
2010	0.61	ocean
2011	0.41	ocean
2012	0.37	ocean
2013	0.49	ocean
2014	0.51	ocean
2015	0.61	ocean
2016	0.83	ocean
2017	0.73	ocean
2018	0.61	ocean
2019	0.72	ocean
2020	0.81	ocean
2021	0.57	ocean
2022	0.65	ocean
2023	0.78	ocean
