document	term	count
1861-Lincoln	he	1
1933-Roosevelt	he	3
1861-Lincoln	enters	1
1861-Lincoln	on	12
1933-Roosevelt	on	13
1961-Kennedy	on	3
1861-Lincoln	execution	1
1861-Lincoln	this	26
1933-Roosevelt	this	16
1961-Kennedy	this	12
1861-Lincoln	office	1
1933-Roosevelt	office	1
1861-Lincoln	.	113
1933-Roosevelt	.	85
1961-Kennedy	.	55
1861-Lincoln	do	14
1933-Roosevelt	do	2
1961-Kennedy	do	8
1861-Lincoln	not	42
1933-Roosevelt	not	9
1961-Kennedy	not	19
1861-Lincoln	consider	2
1861-Lincoln	it	59
1933-Roosevelt	it	25
1961-Kennedy	it	8
1861-Lincoln	necessary	2
1861-Lincoln	at	6
1933-Roosevelt	at	5
1961-Kennedy	at	3
1861-Lincoln	present	5
1933-Roosevelt	present	2
1961-Kennedy	present	1
1861-Lincoln	for	25
1933-Roosevelt	for	17
1961-Kennedy	for	16
1861-Lincoln	me	6
1933-Roosevelt	me	6
1861-Lincoln	discuss	1
1861-Lincoln	those	6
1933-Roosevelt	those	1
1961-Kennedy	those	7
1861-Lincoln	matters	1
1861-Lincoln	administration	6
1961-Kennedy	administration	1
1861-Lincoln	about	2
1933-Roosevelt	about	1
1861-Lincoln	which	18
1933-Roosevelt	which	12
1961-Kennedy	which	7
1861-Lincoln	there	18
1933-Roosevelt	there	7
1961-Kennedy	there	2
1861-Lincoln	is	49
1933-Roosevelt	is	22
1961-Kennedy	is	7
1861-Lincoln	no	31
1933-Roosevelt	no	11
1861-Lincoln	special	1
1933-Roosevelt	special	1
1961-Kennedy	special	1
1861-Lincoln	anxiety	1
1861-Lincoln	or	35
1933-Roosevelt	or	1
1961-Kennedy	or	7
1861-Lincoln	excitement	1
1861-Lincoln	apprehension	2
1861-Lincoln	seems	2
1861-Lincoln	exist	2
1861-Lincoln	among	6
1861-Lincoln	people	20
1933-Roosevelt	people	7
1961-Kennedy	people	1
1861-Lincoln	southern	1
1861-Lincoln	that	59
1933-Roosevelt	that	32
1961-Kennedy	that	20
1861-Lincoln	accession	1
1861-Lincoln	republican	1
1861-Lincoln	their	14
1933-Roosevelt	their	11
1961-Kennedy	their	2
1861-Lincoln	property	3
1933-Roosevelt	property	1
1861-Lincoln	peace	2
1961-Kennedy	peace	4
1861-Lincoln	personal	2
1933-Roosevelt	personal	1
1861-Lincoln	security	3
1861-Lincoln	are	20
1933-Roosevelt	are	10
1961-Kennedy	are	9
1861-Lincoln	endangered	2
1861-Lincoln	has	7
1933-Roosevelt	has	7
1961-Kennedy	has	3
1861-Lincoln	never	7
1933-Roosevelt	never	2
1961-Kennedy	never	3
1861-Lincoln	been	4
1933-Roosevelt	been	1
1961-Kennedy	been	4
1861-Lincoln	any	27
1961-Kennedy	any	8
1861-Lincoln	reasonable	2
1861-Lincoln	cause	2
1861-Lincoln	such	16
1933-Roosevelt	such	4
1861-Lincoln	indeed	1
1861-Lincoln	most	4
1933-Roosevelt	most	1
1861-Lincoln	ample	1
1861-Lincoln	evidence	2
1861-Lincoln	contrary	2
1861-Lincoln	all	34
1933-Roosevelt	all	7
1961-Kennedy	all	9
1861-Lincoln	while	13
1861-Lincoln	existed	1
1861-Lincoln	open	1
1861-Lincoln	inspection	1
1961-Kennedy	inspection	1
1861-Lincoln	found	1
1861-Lincoln	nearly	3
1961-Kennedy	nearly	1
1861-Lincoln	published	1
1861-Lincoln	speeches	2
1861-Lincoln	him	5
1861-Lincoln	who	10
1933-Roosevelt	who	2
1961-Kennedy	who	6
1861-Lincoln	now	15
1933-Roosevelt	now	3
1961-Kennedy	now	2
1861-Lincoln	addresses	1
1861-Lincoln	but	18
1933-Roosevelt	but	10
1961-Kennedy	but	13
1861-Lincoln	quote	1
1861-Lincoln	from	17
1933-Roosevelt	from	6
1961-Kennedy	from	7
1861-Lincoln	one	14
1933-Roosevelt	one	3
1961-Kennedy	one	1
1861-Lincoln	when	4
1933-Roosevelt	when	1
1961-Kennedy	when	1
1861-Lincoln	declare	1
1861-Lincoln	-	7
1933-Roosevelt	-	5
1961-Kennedy	-	25
1861-Lincoln	have	20
1933-Roosevelt	have	20
1961-Kennedy	have	4
1861-Lincoln	purpose	5
1861-Lincoln	directly	1
1861-Lincoln	indirectly	1
1861-Lincoln	interfere	2
1861-Lincoln	institution	1
1861-Lincoln	slavery	4
1861-Lincoln	where	3
1961-Kennedy	where	2
1861-Lincoln	exists	1
1861-Lincoln	believe	1
1961-Kennedy	believe	1
1861-Lincoln	lawful	1
1861-Lincoln	right	11
1961-Kennedy	right	1
1861-Lincoln	so	19
1933-Roosevelt	so	3
1961-Kennedy	so	2
1861-Lincoln	inclination	1
1861-Lincoln	nominated	1
1861-Lincoln	elected	1
1861-Lincoln	did	1
1861-Lincoln	full	1
1861-Lincoln	knowledge	1
1861-Lincoln	had	3
1861-Lincoln	made	5
1933-Roosevelt	made	2
1861-Lincoln	many	3
1933-Roosevelt	many	2
1961-Kennedy	many	1
1861-Lincoln	similar	1
1861-Lincoln	declarations	1
1861-Lincoln	recanted	1
1861-Lincoln	them	13
1933-Roosevelt	them	2
1961-Kennedy	them	5
1861-Lincoln	;	13
1933-Roosevelt	;	16
1961-Kennedy	;	1
1861-Lincoln	more	5
1933-Roosevelt	more	3
1961-Kennedy	more	4
1861-Lincoln	than	13
1933-Roosevelt	than	1
1961-Kennedy	than	1
1861-Lincoln	they	15
1933-Roosevelt	they	13
1961-Kennedy	they	1
1861-Lincoln	placed	1
1861-Lincoln	platform	1
1861-Lincoln	my	8
1933-Roosevelt	my	6
1961-Kennedy	my	3
1861-Lincoln	acceptance	1
1861-Lincoln	law	14
1961-Kennedy	law	1
1861-Lincoln	themselves	3
1933-Roosevelt	themselves	1
1961-Kennedy	themselves	2
1861-Lincoln	clear	1
1933-Roosevelt	clear	2
1861-Lincoln	emphatic	1
1861-Lincoln	resolution	1
1861-Lincoln	read	2
1933-Roosevelt	read	1
1861-Lincoln	resolved	1
1861-Lincoln	maintenance	1
1861-Lincoln	inviolate	1
1861-Lincoln	rights	3
1933-Roosevelt	rights	1
1961-Kennedy	rights	2
1861-Lincoln	especially	2
1861-Lincoln	each	6
1933-Roosevelt	each	2
1961-Kennedy	each	1
1861-Lincoln	state	8
1933-Roosevelt	state	1
1961-Kennedy	state	1
1861-Lincoln	order	1
1933-Roosevelt	order	2
1961-Kennedy	order	1
1861-Lincoln	control	1
1961-Kennedy	control	3
1861-Lincoln	its	11
1933-Roosevelt	its	1
1961-Kennedy	its	6
1861-Lincoln	own	8
1933-Roosevelt	own	3
1961-Kennedy	own	3
1861-Lincoln	domestic	2
1861-Lincoln	institutions	3
1861-Lincoln	according	3
1861-Lincoln	judgment	2
1861-Lincoln	exclusively	1
1861-Lincoln	essential	1
1933-Roosevelt	essential	3
1861-Lincoln	balance	1
1933-Roosevelt	balance	3
1961-Kennedy	balance	2
1861-Lincoln	power	4
1933-Roosevelt	power	3
1961-Kennedy	power	5
1861-Lincoln	perfection	1
1861-Lincoln	endurance	1
1861-Lincoln	our	13
1933-Roosevelt	our	29
1961-Kennedy	our	21
1861-Lincoln	political	2
1933-Roosevelt	political	2
1861-Lincoln	fabric	2
1861-Lincoln	depend	1
1861-Lincoln	we	10
1933-Roosevelt	we	26
1961-Kennedy	we	30
1861-Lincoln	denounce	1
1861-Lincoln	lawless	1
1861-Lincoln	invasion	2
1861-Lincoln	armed	1
1933-Roosevelt	armed	1
1861-Lincoln	force	4
1861-Lincoln	soil	1
1861-Lincoln	territory	1
1933-Roosevelt	territory	1
1861-Lincoln	matter	2
1861-Lincoln	what	4
1961-Kennedy	what	5
1861-Lincoln	pretext	2
1861-Lincoln	gravest	1
1861-Lincoln	crimes	1
1861-Lincoln	reiterate	1
1861-Lincoln	these	6
1933-Roosevelt	these	5
1961-Kennedy	these	1
1861-Lincoln	sentiments	3
1861-Lincoln	doing	5
1961-Kennedy	doing	1
1861-Lincoln	only	10
1933-Roosevelt	only	8
1961-Kennedy	only	3
1861-Lincoln	press	1
1861-Lincoln	upon	15
1933-Roosevelt	upon	4
1861-Lincoln	public	2
1933-Roosevelt	public	4
1861-Lincoln	attention	1
1861-Lincoln	conclusive	1
1861-Lincoln	case	9
1861-Lincoln	susceptible	1
1861-Lincoln	section	5
1861-Lincoln	wise	2
1861-Lincoln	incoming	1
1861-Lincoln	add	2
1861-Lincoln	too	1
1933-Roosevelt	too	1
1861-Lincoln	protection	1
1933-Roosevelt	protection	1
1861-Lincoln	consistently	1
1861-Lincoln	laws	8
1861-Lincoln	can	28
1933-Roosevelt	can	11
1961-Kennedy	can	9
1861-Lincoln	given	4
1933-Roosevelt	given	2
1861-Lincoln	will	27
1933-Roosevelt	will	10
1961-Kennedy	will	7
1861-Lincoln	cheerfully	2
1861-Lincoln	lawfully	4
1861-Lincoln	demanded	1
1861-Lincoln	whatever	1
1961-Kennedy	whatever	1
1861-Lincoln	another	3
1861-Lincoln	much	5
1933-Roosevelt	much	1
1961-Kennedy	much	1
1861-Lincoln	controversy	2
1861-Lincoln	delivering	1
1861-Lincoln	up	3
1961-Kennedy	up	1
1861-Lincoln	fugitives	2
1861-Lincoln	service	5
1961-Kennedy	service	1
1861-Lincoln	labor	5
1861-Lincoln	clause	5
1861-Lincoln	plainly	5
1861-Lincoln	written	4
1861-Lincoln	other	10
1933-Roosevelt	other	4
1961-Kennedy	other	4
1861-Lincoln	provisions	3
1861-Lincoln	person	1
1861-Lincoln	held	4
1861-Lincoln	under	6
1933-Roosevelt	under	3
1961-Kennedy	under	1
1861-Lincoln	thereof	1
1861-Lincoln	escaping	1
1861-Lincoln	into	3
1933-Roosevelt	into	2
1961-Kennedy	into	1
1861-Lincoln	shall	17
1933-Roosevelt	shall	7
1961-Kennedy	shall	5
1861-Lincoln	consequence	2
1861-Lincoln	regulation	1
1861-Lincoln	therein	1
1861-Lincoln	discharged	1
1861-Lincoln	delivered	2
1861-Lincoln	claim	2
1861-Lincoln	party	4
1961-Kennedy	party	1
1861-Lincoln	whom	1
1961-Kennedy	whom	1
1861-Lincoln	may	13
1933-Roosevelt	may	8
1961-Kennedy	may	3
1861-Lincoln	due	1
1861-Lincoln	scarcely	1
1861-Lincoln	questioned	1
1861-Lincoln	provision	6
1933-Roosevelt	provision	1
1861-Lincoln	was	5
1961-Kennedy	was	1
1861-Lincoln	intended	1
1861-Lincoln	reclaiming	1
1861-Lincoln	call	1
1933-Roosevelt	call	1
1961-Kennedy	call	4
1861-Lincoln	fugitive	2
1861-Lincoln	slaves	3
1861-Lincoln	intention	1
1861-Lincoln	lawgiver	1
1861-Lincoln	members	1
1861-Lincoln	congress	5
1933-Roosevelt	congress	4
1861-Lincoln	swear	1
1861-Lincoln	support	1
1933-Roosevelt	support	2
1961-Kennedy	support	2
1861-Lincoln	whole	4
1933-Roosevelt	whole	1
1861-Lincoln	proposition	2
1861-Lincoln	then	4
1933-Roosevelt	then	1
1861-Lincoln	whose	1
1961-Kennedy	whose	1
1861-Lincoln	cases	6
1861-Lincoln	come	1
1933-Roosevelt	come	1
1961-Kennedy	come	1
1861-Lincoln	within	2
1933-Roosevelt	within	1
1861-Lincoln	terms	3
1861-Lincoln	oaths	1
1861-Lincoln	unanimous	2
1861-Lincoln	if	19
1933-Roosevelt	if	5
1961-Kennedy	if	2
1861-Lincoln	would	10
1933-Roosevelt	would	3
1961-Kennedy	would	2
1861-Lincoln	make	6
1961-Kennedy	make	1
1861-Lincoln	effort	1
1933-Roosevelt	effort	2
1961-Kennedy	effort	1
1861-Lincoln	good	4
1933-Roosevelt	good	3
1961-Kennedy	good	3
1861-Lincoln	temper	2
1933-Roosevelt	temper	1
1861-Lincoln	could	2
1861-Lincoln	equal	3
1861-Lincoln	unanimity	2
1861-Lincoln	frame	2
1861-Lincoln	pass	1
1861-Lincoln	means	2
1933-Roosevelt	means	2
1861-Lincoln	keep	1
1861-Lincoln	?	22
1961-Kennedy	?	2
1861-Lincoln	some	5
1861-Lincoln	difference	2
1861-Lincoln	opinion	1
1933-Roosevelt	opinion	1
1861-Lincoln	whether	1
1961-Kennedy	whether	2
1861-Lincoln	should	6
1861-Lincoln	enforced	4
1861-Lincoln	national	9
1933-Roosevelt	national	9
1961-Kennedy	national	1
1861-Lincoln	authority	7
1933-Roosevelt	authority	2
1861-Lincoln	surely	3
1861-Lincoln	very	4
1933-Roosevelt	very	1
1961-Kennedy	very	1
1861-Lincoln	material	1
1933-Roosevelt	material	2
1861-Lincoln	slave	4
1861-Lincoln	surrendered	5
1861-Lincoln	little	3
1933-Roosevelt	little	1
1961-Kennedy	little	2
1861-Lincoln	others	3
1933-Roosevelt	others	1
1861-Lincoln	done	1
1861-Lincoln	anyone	1
1861-Lincoln	content	2
1861-Lincoln	his	6
1933-Roosevelt	his	2
1961-Kennedy	his	3
1861-Lincoln	go	3
1933-Roosevelt	go	1
1961-Kennedy	go	3
1861-Lincoln	unkept	1
1861-Lincoln	merely	2
1933-Roosevelt	merely	2
1961-Kennedy	merely	2
1861-Lincoln	unsubstantial	1
1861-Lincoln	how	1
1861-Lincoln	kept	1
1861-Lincoln	again	5
1933-Roosevelt	again	1
1961-Kennedy	again	1
1861-Lincoln	subject	3
1961-Kennedy	subject	1
1861-Lincoln	ought	3
1861-Lincoln	safeguards	1
1933-Roosevelt	safeguards	1
1861-Lincoln	liberty	1
1961-Kennedy	liberty	1
1861-Lincoln	known	1
1861-Lincoln	civilized	1
1861-Lincoln	humane	1
1861-Lincoln	jurisprudence	1
1861-Lincoln	introduced	1
1861-Lincoln	free	2
1961-Kennedy	free	5
1861-Lincoln	man	1
1961-Kennedy	man	4
1861-Lincoln	might	3
1861-Lincoln	well	3
1933-Roosevelt	well	1
1961-Kennedy	well	3
1861-Lincoln	same	4
1933-Roosevelt	same	1
1961-Kennedy	same	3
1861-Lincoln	time	5
1933-Roosevelt	time	5
1961-Kennedy	time	2
1861-Lincoln	provide	1
1933-Roosevelt	provide	1
1861-Lincoln	enforcement	1
1861-Lincoln	guarantees	1
1861-Lincoln	citizens	5
1933-Roosevelt	citizens	1
1961-Kennedy	citizens	5
1861-Lincoln	entitled	2
1861-Lincoln	privileges	1
1861-Lincoln	immunities	1
1861-Lincoln	several	1
1933-Roosevelt	several	1
1861-Lincoln	official	2
1861-Lincoln	to-day	1
1861-Lincoln	mental	1
1861-Lincoln	reservations	1
1861-Lincoln	construe	1
1861-Lincoln	hypercritical	1
1861-Lincoln	rules	1
1933-Roosevelt	rules	1
1861-Lincoln	choose	2
1861-Lincoln	specify	1
1861-Lincoln	particular	3
1861-Lincoln	acts	3
1861-Lincoln	proper	4
1861-Lincoln	suggest	1
1861-Lincoln	safer	1
1861-Lincoln	both	4
1961-Kennedy	both	10
1861-Lincoln	private	1
1861-Lincoln	stations	1
1861-Lincoln	conform	1
1861-Lincoln	abide	2
1861-Lincoln	stand	1
1933-Roosevelt	stand	1
1861-Lincoln	unrepealed	1
1861-Lincoln	violate	2
1861-Lincoln	trusting	1
1861-Lincoln	find	2
1933-Roosevelt	find	1
1961-Kennedy	find	2
1861-Lincoln	impunity	1
1861-Lincoln	having	4
1861-Lincoln	unconstitutional	1
1861-Lincoln	seventy-two	1
1861-Lincoln	years	3
1933-Roosevelt	years	1
1861-Lincoln	since	1
1961-Kennedy	since	1
1861-Lincoln	first	1
1933-Roosevelt	first	4
1961-Kennedy	first	4
1861-Lincoln	inauguration	1
1861-Lincoln	during	1
1861-Lincoln	period	1
1961-Kennedy	period	1
1861-Lincoln	fifteen	1
1861-Lincoln	different	3
1961-Kennedy	different	1
1861-Lincoln	greatly	1
1933-Roosevelt	greatly	1
1861-Lincoln	distinguished	1
1861-Lincoln	succession	1
1861-Lincoln	administered	1
1861-Lincoln	executive	2
1933-Roosevelt	executive	2
1861-Lincoln	branch	1
1861-Lincoln	conducted	1
1861-Lincoln	through	1
1933-Roosevelt	through	4
1861-Lincoln	perils	1
1933-Roosevelt	perils	1
1861-Lincoln	generally	1
1861-Lincoln	great	5
1933-Roosevelt	great	4
1961-Kennedy	great	1
1861-Lincoln	success	1
1933-Roosevelt	success	1
1961-Kennedy	success	2
1861-Lincoln	yet	3
1933-Roosevelt	yet	1
1961-Kennedy	yet	2
1861-Lincoln	scope	1
1861-Lincoln	precedent	3
1861-Lincoln	enter	1
1861-Lincoln	task	1
1933-Roosevelt	task	4
1861-Lincoln	brief	1
1861-Lincoln	constitutional	8
1933-Roosevelt	constitutional	3
1861-Lincoln	term	1
1861-Lincoln	four	2
1861-Lincoln	peculiar	1
1861-Lincoln	difficulty	2
1861-Lincoln	disruption	1
1861-Lincoln	federal	3
1933-Roosevelt	federal	1
1861-Lincoln	union	20
1861-Lincoln	heretofore	1
1861-Lincoln	menaced	1
1861-Lincoln	formidably	1
1861-Lincoln	attempted	1
1861-Lincoln	hold	3
1861-Lincoln	contemplation	2
1861-Lincoln	universal	2
1861-Lincoln	perpetual	3
1861-Lincoln	perpetuity	2
1861-Lincoln	implied	2
1861-Lincoln	expressed	1
1861-Lincoln	fundamental	1
1861-Lincoln	governments	1
1933-Roosevelt	governments	1
1961-Kennedy	governments	1
1861-Lincoln	safe	1
1861-Lincoln	assert	1
1933-Roosevelt	assert	1
1861-Lincoln	ever	4
1861-Lincoln	organic	2
1861-Lincoln	termination	1
1861-Lincoln	continue	3
1861-Lincoln	execute	1
1861-Lincoln	express	3
1861-Lincoln	endure	1
1933-Roosevelt	endure	2
1861-Lincoln	forever	1
1861-Lincoln	being	7
1861-Lincoln	impossible	2
1861-Lincoln	destroy	3
1961-Kennedy	destroy	1
1861-Lincoln	except	1
1861-Lincoln	action	2
1933-Roosevelt	action	6
1861-Lincoln	provided	2
1861-Lincoln	instrument	2
1933-Roosevelt	instrument	2
1861-Lincoln	an	3
1933-Roosevelt	an	6
1961-Kennedy	an	2
1861-Lincoln	association	2
1861-Lincoln	nature	2
1933-Roosevelt	nature	1
1861-Lincoln	contract	3
1861-Lincoln	peaceably	1
1861-Lincoln	unmade	1
1861-Lincoln	less	2
1933-Roosevelt	less	1
1861-Lincoln	parties	3
1861-Lincoln	break	3
1961-Kennedy	break	1
1861-Lincoln	speak	3
1933-Roosevelt	speak	1
1861-Lincoln	does	5
1933-Roosevelt	does	1
1861-Lincoln	require	1
1933-Roosevelt	require	2
1861-Lincoln	rescind	1
1861-Lincoln	descending	1
1861-Lincoln	general	1
1861-Lincoln	principles	1
1861-Lincoln	legal	3
1861-Lincoln	confirmed	1
1861-Lincoln	history	1
1961-Kennedy	history	2
1861-Lincoln	older	1
1861-Lincoln	formed	1
1861-Lincoln	fact	2
1933-Roosevelt	fact	1
1861-Lincoln	articles	2
1861-Lincoln	1774	1
1861-Lincoln	matured	2
1861-Lincoln	continued	1
1861-Lincoln	declaration	1
1861-Lincoln	independence	1
1861-Lincoln	1776	1
1861-Lincoln	further	1
1861-Lincoln	faith	2
1961-Kennedy	faith	1
1861-Lincoln	thirteen	1
1861-Lincoln	expressly	5
1861-Lincoln	plighted	1
1861-Lincoln	engaged	1
1861-Lincoln	confederation	1
1861-Lincoln	1778	1
1861-Lincoln	finally	1
1933-Roosevelt	finally	1
1961-Kennedy	finally	2
1861-Lincoln	1787	1
1861-Lincoln	declared	2
1861-Lincoln	objects	2
1861-Lincoln	ordaining	1
1861-Lincoln	establishing	1
1861-Lincoln	form	2
1933-Roosevelt	form	2
1961-Kennedy	form	1
1861-Lincoln	perfect	4
1861-Lincoln	destruction	2
1961-Kennedy	destruction	1
1861-Lincoln	part	2
1933-Roosevelt	part	2
1861-Lincoln	possible	5
1933-Roosevelt	possible	2
1861-Lincoln	lost	2
1861-Lincoln	vital	4
1861-Lincoln	element	1
1861-Lincoln	follows	1
1861-Lincoln	views	1
1861-Lincoln	mere	2
1933-Roosevelt	mere	2
1861-Lincoln	motion	1
1861-Lincoln	get	1
1861-Lincoln	out	2
1933-Roosevelt	out	1
1961-Kennedy	out	2
1861-Lincoln	resolves	1
1861-Lincoln	ordinances	1
1861-Lincoln	effect	3
1861-Lincoln	legally	1
1861-Lincoln	void	1
1861-Lincoln	violence	2
1861-Lincoln	against	2
1933-Roosevelt	against	2
1961-Kennedy	against	2
1861-Lincoln	insurrectionary	1
1861-Lincoln	revolutionary	2
1961-Kennedy	revolutionary	1
1861-Lincoln	circumstances	3
1861-Lincoln	therefore	1
1861-Lincoln	view	4
1961-Kennedy	view	1
1861-Lincoln	unbroken	1
1861-Lincoln	extent	2
1933-Roosevelt	extent	1
1861-Lincoln	ability	1
1933-Roosevelt	ability	1
1861-Lincoln	care	1
1861-Lincoln	enjoins	1
1861-Lincoln	faithfully	2
1861-Lincoln	executed	1
1861-Lincoln	deem	2
1861-Lincoln	simple	1
1933-Roosevelt	simple	1
1861-Lincoln	duty	3
1933-Roosevelt	duty	4
1861-Lincoln	perform	1
1861-Lincoln	far	3
1961-Kennedy	far	2
1861-Lincoln	practicable	1
1861-Lincoln	unless	4
1861-Lincoln	rightful	2
1861-Lincoln	masters	1
1861-Lincoln	american	2
1933-Roosevelt	american	1
1861-Lincoln	withhold	1
1861-Lincoln	requisite	1
1861-Lincoln	authoritative	1
1861-Lincoln	manner	1
1861-Lincoln	direct	1
1933-Roosevelt	direct	2
1861-Lincoln	trust	1
1933-Roosevelt	trust	2
1861-Lincoln	regarded	1
1861-Lincoln	menace	1
1861-Lincoln	constitutionally	1
1861-Lincoln	defend	2
1861-Lincoln	maintain	1
1861-Lincoln	needs	1
1933-Roosevelt	needs	1
1861-Lincoln	bloodshed	1
1861-Lincoln	none	2
1861-Lincoln	forced	1
1861-Lincoln	confided	1
1861-Lincoln	used	1
1861-Lincoln	occupy	1
1861-Lincoln	possess	1
1861-Lincoln	places	1
1961-Kennedy	places	1
1861-Lincoln	belonging	1
1861-Lincoln	collect	1
1861-Lincoln	duties	1
1861-Lincoln	imposts	1
1861-Lincoln	beyond	2
1961-Kennedy	beyond	2
1861-Lincoln	using	1
1861-Lincoln	anywhere	1
1961-Kennedy	anywhere	1
1861-Lincoln	hostility	1
1861-Lincoln	interior	1
1861-Lincoln	locality	1
1861-Lincoln	prevent	2
1961-Kennedy	prevent	1
1861-Lincoln	competent	2
1861-Lincoln	resident	1
1861-Lincoln	holding	2
1861-Lincoln	offices	3
1861-Lincoln	attempt	2
1861-Lincoln	obnoxious	1
1861-Lincoln	strangers	1
1861-Lincoln	object	5
1861-Lincoln	strict	1
1933-Roosevelt	strict	1
1861-Lincoln	enforce	1
1861-Lincoln	exercise	2
1861-Lincoln	irritating	1
1861-Lincoln	impracticable	1
1861-Lincoln	withal	1
1861-Lincoln	better	4
1933-Roosevelt	better	1
1861-Lincoln	forego	1
1861-Lincoln	uses	1
1861-Lincoln	mails	1
1861-Lincoln	repelled	1
1861-Lincoln	furnished	1
1861-Lincoln	parts	2
1933-Roosevelt	parts	1
1861-Lincoln	everywhere	1
1861-Lincoln	sense	2
1861-Lincoln	favorable	1
1861-Lincoln	calm	1
1861-Lincoln	thought	1
1933-Roosevelt	thought	1
1861-Lincoln	reflection	1
1861-Lincoln	course	1
1933-Roosevelt	course	1
1961-Kennedy	course	2
1861-Lincoln	here	1
1961-Kennedy	here	1
1861-Lincoln	indicated	1
1861-Lincoln	followed	1
1861-Lincoln	current	1
1861-Lincoln	events	2
1861-Lincoln	experience	1
1933-Roosevelt	experience	1
1861-Lincoln	show	1
1861-Lincoln	modification	1
1861-Lincoln	change	2
1961-Kennedy	change	1
1861-Lincoln	every	4
1933-Roosevelt	every	4
1961-Kennedy	every	2
1861-Lincoln	exigency	1
1861-Lincoln	best	2
1933-Roosevelt	best	1
1961-Kennedy	best	2
1861-Lincoln	discretion	1
1861-Lincoln	exercised	2
1861-Lincoln	actually	1
1861-Lincoln	existing	3
1861-Lincoln	hope	2
1961-Kennedy	hope	4
1861-Lincoln	peaceful	1
1961-Kennedy	peaceful	1
1861-Lincoln	solution	1
1861-Lincoln	troubles	1
1861-Lincoln	restoration	1
1933-Roosevelt	restoration	2
1861-Lincoln	fraternal	1
1861-Lincoln	sympathies	1
1861-Lincoln	affections	1
1861-Lincoln	persons	2
1861-Lincoln	seek	2
1933-Roosevelt	seek	2
1961-Kennedy	seek	2
1861-Lincoln	glad	1
1861-Lincoln	neither	1
1961-Kennedy	neither	1
1861-Lincoln	affirm	1
1861-Lincoln	nor	5
1933-Roosevelt	nor	1
1961-Kennedy	nor	3
1861-Lincoln	deny	2
1933-Roosevelt	deny	1
1861-Lincoln	need	1
1933-Roosevelt	need	3
1961-Kennedy	need	1
1861-Lincoln	word	1
1961-Kennedy	word	2
1861-Lincoln	however	2
1933-Roosevelt	however	1
1861-Lincoln	really	1
1861-Lincoln	love	1
1961-Kennedy	love	1
1861-Lincoln	entering	1
1861-Lincoln	grave	2
1861-Lincoln	benefits	1
1861-Lincoln	memories	1
1861-Lincoln	hopes	1
1861-Lincoln	ascertain	1
1861-Lincoln	precisely	3
1861-Lincoln	why	3
1933-Roosevelt	why	1
1861-Lincoln	hazard	1
1861-Lincoln	desperate	1
1861-Lincoln	step	2
1861-Lincoln	possibility	1
1861-Lincoln	portion	2
1861-Lincoln	ills	2
1861-Lincoln	fly	4
1861-Lincoln	real	2
1861-Lincoln	existence	1
1933-Roosevelt	existence	1
1861-Lincoln	certain	1
1933-Roosevelt	certain	1
1961-Kennedy	certain	1
1861-Lincoln	greater	1
1861-Lincoln	ones	1
1861-Lincoln	risk	1
1861-Lincoln	commission	1
1861-Lincoln	fearful	1
1861-Lincoln	mistake	1
